Product_ID,product,price,ratings,reviews,url,category
B0BCQXXRJJ,Google Pixel 7-5G Android Phone - Unlocked Smartphone with Wide Angle Lens and 24-Hour Battery - 128GB - Obsidian,449.00,4.3,3047,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MDY2ODE0NDMzODg0NjMwOjE2OTU0OTM5MTI6c3BfYXRmOjIwMDA5NjEzMTcwODY5ODo6MDo6&url=%2FGoogle-Pixel-7-5G-Android-Phone%2Fdp%2FB0BCQXXRJJ%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dsmartphone%26qid%3D1695493912%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Smartphones
B0BZ9XNBRB,Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB – Charcoal,444.00,4.2,518,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MDY2ODE0NDMzODg0NjMwOjE2OTU0OTM5MTI6c3BfYXRmOjIwMDE2ODc0MjY5NTI5ODo6MDo6&url=%2FGoogle-Pixel-7a-Unlocked-Smartphone%2Fdp%2FB0BZ9XNBRB%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dsmartphone%26qid%3D1695493912%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Smartphones
B09PFC2DVD,Motorola Moto G Stylus | 2022 | 2-Day battery | Unlocked| Made for US by Motorola | 6/128GB | 50MP Camera | Twilight Blue,160.00,4.2,1885,https://www.amazon.com/Stylus-battery-Unlocked-Motorola-Twilight/dp/B09PFC2DVD/ref=sr_1_3?keywords=smartphone&qid=1695493912&sr=8-3,Smartphones
B0C2VZ9GRR,Xiaomi Redmi Note 12s (256GB + 8GB) Global Unlocked (No Warranty) (Tmobile/Metro Tello/Mint USA Market) (w/Fast Car Charger Bundle) (Ice Blue),195.70,4.7,2799,https://www.amazon.com/Xiaomi-Unlocked-Warranty-Tmobile-Charger/dp/B0C2VZ9GRR/ref=sr_1_5?keywords=smartphone&qid=1695493912&sr=8-5,Smartphones
B0BSLRXF1H,"SAMSUNG Galaxy A54 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB w/ 6.4” Fluid Display Screen, Hi Res Camera, Long Battery Life, Refined Design, US Version, 2023, Awesome Violet",349.99,4.4,184,https://www.amazon.com/SAMSUNG-Factory-Unlocked-Android-Smartphone/dp/B0BSLRXF1H/ref=sr_1_6?keywords=smartphone&qid=1695493912&sr=8-6,Smartphones
B0BBXBXCFC,"Total by Verizon TCL 30 Z, 32GB, Black - Prepaid Smartphone (Locked)",39.99,4.0,218,https://www.amazon.com/Total-Verizon-TCL-32GB-Black/dp/B0BBXBXCFC/ref=sr_1_7?keywords=smartphone&qid=1695493912&sr=8-7,Smartphones
B0BFYRV4CD,Motorola Moto G Stylus 5G | 2021 | 2-Day Battery | Unlocked | Made for US 4/128GB | 48MP Camera | Cosmic Emerald,149.99,4.3,1146,https://www.amazon.com/Motorola-Stylus-Battery-Unlocked-Emerald/dp/B0BFYRV4CD/ref=sr_1_8?keywords=smartphone&qid=1695493912&sr=8-8,Smartphones
B0C37QXBH3,Nokia G10 | Android 11 | Unlocked Smartphone | 3-Day Battery | 3/64GB | 6.52-Inch Screen | 13MP Triple Camera | Dusk,99.99,5.0,1,https://www.amazon.com/Nokia-Android-Unlocked-Smartphone-6-52-Inch/dp/B0C37QXBH3/ref=sr_1_9?keywords=smartphone&qid=1695493912&sr=8-9,Smartphones
B0C9R4LPMW,"xixaomiro i14Pro Max Unlocked 5G Cellphone Android Smartphone Mobile Phone, 8GB RAM, 512GB ROM 1TB Expandable, 6.8'' FHD Screen, 6000mAh Battery, Dual Sim Card, 48+13MP Camera (Golden)",129.00,3.6,20,https://www.amazon.com/xixaomiro-Unlocked-Cellphone-Smartphone-Expandable/dp/B0C9R4LPMW/ref=sr_1_10?keywords=smartphone&qid=1695493912&sr=8-10,Smartphones
B0C2T3CDGJ,Nokia C21 Plus | Android 11 (Go Edition) | Unlocked Smartphone | 2-Day Battery | Dual SIM | 2/64GB | 6.52-Inch Screen | Cyan,99.00,4.4,10,https://www.amazon.com/Nokia-Android-Unlocked-Smartphone-6-52-Inch/dp/B0C2T3CDGJ/ref=sr_1_11?keywords=smartphone&qid=1695493912&sr=8-11,Smartphones
B0BCG1MD2Q,"UMIDIGI Cell Phone G1 MAX, Android12 Unlocked Smartphone, Dual Sim 4G LTE Mobile Phone, 128GB/256G Expandable, 6.52"" HD+ Night Mode，5150mAh, GSM Unlocked Phone",109.99,4.0,364,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MDY2ODE0NDMzODg0NjMwOjE2OTU0OTM5MTI6c3BfbXRmOjIwMDExOTc5MjMwMjc5ODo6MDo6&url=%2FUMIDIGI-G1-MAX-Android12-Expandable%2Fdp%2FB0BCG1MD2Q%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dsmartphone%26qid%3D1695493912%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Smartphones
B09T2JFWKR,"Tracfone Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked)",49.88,4.2,1117,https://www.amazon.com/Tracfone-Samsung-Galaxy-A03s-Black/dp/B09T2JFWKR/ref=sr_1_13?keywords=smartphone&qid=1695493912&sr=8-13,Smartphones
B0BNWPSCGB,OnePlus 11 5G | 16GB RAM+256GB | Dual-SIM | Titan Black | US Factory Unlocked Android Smartphone | 5000 mAh battery | 80W Fast charging | Hasselblad Camera | 120Hz Fluid Display | 4nm Processor,649.99,4.4,716,https://www.amazon.com/OnePlus-Dual-SIM-Smartphone-Hasselblad-Processor/dp/B0BNWPSCGB/ref=sr_1_14?keywords=smartphone&qid=1695493912&sr=8-14,Smartphones
B08FRTH1KJ,Samsung Galaxy S20+ 5G 128GB Fully Unlocked Smartphone (Renewed),235.00,4.3,4031,https://www.amazon.com/Galaxy-S20-5G-Unlocked-Smartphone/dp/B08FRTH1KJ/ref=sr_1_15?keywords=smartphone&qid=1695493912&sr=8-15,Smartphones
B0BTP6PJ9J,"TCL 40XL 2023 Unlocked Cell Phone 4GB + 128GB, 6.75"" 90Hz Display, Smartphone Android 13, 50MP AI Camera Mobile Phone, 5000 mAh, 4G LTE, US Version, Dark Gray",139.99,4.0,280,https://www.amazon.com/TCL-Unlocked-Display-Smartphone-Android/dp/B0BTP6PJ9J/ref=sr_1_16?keywords=smartphone&qid=1695493912&sr=8-16,Smartphones
