category,product,price,ratings,review_responders,reviews
Smartphones,Google Pixel 4a - Unlocked Android Smartphone - 128 GB of Storage - Up to 24 Hour Battery - Just Black,99.99,4.4,163,Typical:
Smartphones,"SAMSUNG Galaxy A54 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB w/ 6.4” Fluid Display Screen, Hi Res Camera, Long Battery Life, Refined Design, US Version, 2023, Awesome Violet",449.99,4.4,163,163
Smartphones,"SAMSUNG Galaxy A54 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB w/ 6.4” Fluid Display Screen, Hi Res Camera, Long Battery Life, Refined Design, US Version, 2023, Awesome Violet",449.99,4.4,163,163
Smartphones,"Total by Verizon TCL 30 Z, 32GB, Black - Prepaid Smartphone (Locked)",29.88,4.0,206,206
Smartphones,"Total by Verizon TCL 30 Z, 32GB, Black - Prepaid Smartphone (Locked)",29.88,4.0,206,206
Smartphones,Google Pixel 4a - Unlocked Android Smartphone - 128 GB of Storage - Up to 24 Hour Battery - Just Black,314.99,4.5,"10,342",Shop
Smartphones,Google Pixel 4a - Unlocked Android Smartphone - 128 GB of Storage - Up to 24 Hour Battery - Just Black,314.99,4.5,"10,342","10,342"
Smartphones,Samsung Galaxy S20+ 5G 128GB Fully Unlocked Smartphone (Renewed),260.08,4.3,"3,993","3,993"
Smartphones,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone | US Version | 128GB of Storage | Mobile Gaming Smartphone | Mystic Bronze (Renewed), SM-N986UZNAXAA",339.00,4.1,"3,205","3,205"
Smartphones,Nokia C21 Plus | Android 11 (Go Edition) | Unlocked Smartphone | 2-Day Battery | Dual SIM | 2/64GB | 6.52-Inch Screen | Cyan,99.00,4.2,7,7
Smartphones,Nokia C21 Plus | Android 11 (Go Edition) | Unlocked Smartphone | 2-Day Battery | Dual SIM | 2/64GB | 6.52-Inch Screen | Cyan,99.00,4.2,7,7
Smartphones,"Apple iPhone 12, 64GB, Black - Unlocked (Renewed Premium)",460.00,4.2,"11,607","11,607"
Smartphones,"Apple iPhone 12, 64GB, Black - Unlocked (Renewed Premium)",460.00,4.2,"11,607","11,607"
Smartphones,"Apple iPhone 12 Mini, 64GB, Blue - Unlocked (Renewed)",285.00,4.2,"7,467","7,467"
Smartphones,"Apple iPhone 12 Mini, 64GB, Blue - Unlocked (Renewed)",285.00,4.2,"7,467","7,467"
Smartphones,Moto G 5G | 2022 | 2-Day Battery | Unlocked | Made for US by Motorola | 6/256GB | 50 MP Camera | Moonlight Gray,189.99,4.3,894,894
Smartphones,Moto G 5G | 2022 | 2-Day Battery | Unlocked | Made for US by Motorola | 6/256GB | 50 MP Camera | Moonlight Gray,189.99,4.3,894,894
Smartphones,"Tracfone Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked)",49.88,4.2,"1,100","1,100"
Smartphones,"Tracfone Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked)",49.88,4.2,"1,100","1,100"
Smartphones,OnePlus 11 5G | 16GB RAM+256GB | Dual-SIM | Titan Black | US Factory Unlocked Android Smartphone | 5000 mAh battery | 80W Fast charging | Hasselblad Camera | 120Hz Fluid Display | 4nm Processor,649.99,4.4,691,691
Smartphones,OnePlus 11 5G | 16GB RAM+256GB | Dual-SIM | Titan Black | US Factory Unlocked Android Smartphone | 5000 mAh battery | 80W Fast charging | Hasselblad Camera | 120Hz Fluid Display | 4nm Processor,649.99,4.4,691,691
Smartphones,"Xgody X60 Android Cell Phone Unlocked, 6 Inch QHD Waterdrop Screen, 2GB RAM+16GB ROM, Dual Sim Slots Smartphone, 5MP+5MP Camera, Facial Unlock, 3000mAh Mobile Phones (Black1)",71.99,5.0,3,3
Smartphones,"Xgody X60 Android Cell Phone Unlocked, 6 Inch QHD Waterdrop Screen, 2GB RAM+16GB ROM, Dual Sim Slots Smartphone, 5MP+5MP Camera, Facial Unlock, 3000mAh Mobile Phones (Black1)",71.99,5.0,3,3
Smartphones,Xiaomi Redmi Note 12s (256GB + 8GB) Global Unlocked (No Warranty) (Tmobile/Metro Tello/Mint USA Market) (w/Fast Car Charger Bundle) (Ice Blue),202.00,4.7,"2,552","2,552"
Smartphones,Xiaomi Redmi Note 12s (256GB + 8GB) Global Unlocked (No Warranty) (Tmobile/Metro Tello/Mint USA Market) (w/Fast Car Charger Bundle) (Ice Blue),202.00,4.7,"2,552","2,552"
Smartphones,"SAMSUNG Galaxy S22 Ultra Cell Phone, Factory Unlocked Android Smartphone, 128GB, 8K Camera, Brightest Display Screen, S Pen, Long Battery Life, Fast 4nm Processor, US Version, 2022, Phantom Black",989.00,4.6,"1,109","1,109"
Smartphones,"SAMSUNG Galaxy S22 Ultra Cell Phone, Factory Unlocked Android Smartphone, 128GB, 8K Camera, Brightest Display Screen, S Pen, Long Battery Life, Fast 4nm Processor, US Version, 2022, Phantom Black",989.00,4.6,"1,109","1,109"
Smartphones,"UMIDIGI A15 Cell Phones (16G+256G), Android 13 Mobile Phone, 64MP Main Camera Octa Core Smartphone Unlocked 6.7” HD+ Full-View Waterdrop Screen, 5000mAh Battery 20W Fast Charging, 4G Dual SIM, GPS/NFC",169.99,5.0,1,1
Smartphones,"UMIDIGI A15 Cell Phones (16G+256G), Android 13 Mobile Phone, 64MP Main Camera Octa Core Smartphone Unlocked 6.7” HD+ Full-View Waterdrop Screen, 5000mAh Battery 20W Fast Charging, 4G Dual SIM, GPS/NFC",169.99,5.0,1,1
Smartphones,"Apple iPhone 12 Pro Max, 128GB, Pacific Blue - Unlocked (Renewed Premium)",681.05,4.4,"1,636","1,636"
Smartphones,"Apple iPhone 12 Pro Max, 128GB, Pacific Blue - Unlocked (Renewed Premium)",681.05,4.4,"1,636","1,636"
Smartphones,"5G Unlocked Cell Phones,6G+256GB Dual Sim Smartphone, C21 Unlocked Mobile Phone with 7.3 inch Waterdrop Screen, Android Phone 24+64 MP | 7300mAh | Fingerprint Lock & Face ID | US Version (rose gold)",169.99,1.0,1,1
Smartphones,"5G Unlocked Cell Phones,6G+256GB Dual Sim Smartphone, C21 Unlocked Mobile Phone with 7.3 inch Waterdrop Screen, Android Phone 24+64 MP | 7300mAh | Fingerprint Lock & Face ID | US Version (rose gold)",169.99,1.0,1,1
Smartphones,"xixaomiro i14Pro Max Unlocked 5G Cellphone Android Smartphone Mobile Phone, 8GB RAM, 512GB ROM 1TB Expandable, 6.8'' FHD Screen, 6000mAh Battery, Dual Sim Card, 48+13MP Camera (Purple)",129.00,3.5,19,19
Smartphones,"xixaomiro i14Pro Max Unlocked 5G Cellphone Android Smartphone Mobile Phone, 8GB RAM, 512GB ROM 1TB Expandable, 6.8'' FHD Screen, 6000mAh Battery, Dual Sim Card, 48+13MP Camera (Purple)",129.00,3.5,19,19
Smartphones,"Apple iPhone 12 Pro Max, 128GB, Gold - Unlocked (Renewed Premium)",699.99,4.5,,4.5
Smartphones,"Apple iPhone 12 Pro Max, 128GB, Gold - Unlocked (Renewed Premium)",699.99,4.5,,4.5
Smartphones,"Apple iPhone 12 Pro Max, 128GB, Gold - Unlocked (Renewed Premium)",699.99,4.5,,4.5
Smartphones,Google Pixel 7-5G Android Phone - Unlocked Smartphone with Wide Angle Lens and 24-Hour Battery - 128GB - Obsidian,449.00,4.3,,4.3
Smartphones,Google Pixel 7-5G Android Phone - Unlocked Smartphone with Wide Angle Lens and 24-Hour Battery - 128GB - Obsidian,449.00,4.3,,4.3
